ID=0x1419, offset=0x0001AF68, len=13, data=00190018a7b44c8e0501000101
ID=0x1419, offset=0x0001AF88, len=13, data=00190018a7b44c8e0501000100
ID=0x1453, offset=0x0001AFA8, len=13, data=00530011bb8dec520201000101
ID=0x1453, offset=0x0001AFC8, len=13, data=00530011bb8dec520201000100
ID=0x1454, offset=0x0001AFE8, len=13, data=00540011bb8dec520201000101
ID=0x1454, offset=0x0001B008, len=13, data=00540011bb8dec520201000100
ID=0x1411, offset=0x0001B028, len=13, data=00110011a67b5b950201000101
ID=0x1411, offset=0x0001B048, len=13, data=00110011a67b5b950201000100
ID=0x141B, offset=0x0001B068, len=13, data=001b001bc1c3b53d0301000001
ID=0x141B, offset=0x0001B088, len=13, data=001b001bc1c3b53d0301000000
ID=0x1427, offset=0x0001B0A8, len=13, data=0027001b7667d96a0301000001
ID=0x1427, offset=0x0001B0C8, len=13, data=0027001b7667d96a0301000000
ID=0x142B, offset=0x0001B0E8, len=13, data=002b002b249ff3780302000101
ID=0x142B, offset=0x0001B108, len=13, data=002b002b249ff3780302000100
ID=0x143B, offset=0x0001B128, len=13, data=003b003be64999f72900000001
ID=0x144D, offset=0x0001B168, len=13, data=004d004d48f043e40301000101
ID=0x144D, offset=0x0001B188, len=13, data=004d004d48f043e40301000100
ID=0x142C, offset=0x0001B1A8, len=13, data=002c002cd31947160101000101
ID=0x142C, offset=0x0001B1C8, len=13, data=002c002cd31947160101000100
ID=0x144E, offset=0x0001B1E8, len=13, data=004e004e1d088cc70101000101
ID=0x144E, offset=0x0001B208, len=13, data=004e004e1d088cc70101000100
ID=0x144F, offset=0x0001B228, len=13, data=004f004f1d088cc70101000101
ID=0x144F, offset=0x0001B248, len=13, data=004f004f1d088cc70101000100
ID=0x141E, offset=0x0001B268, len=13, data=001e001e9e90b3b70301000101
ID=0x141E, offset=0x0001B288, len=13, data=001e001e9e90b3b70301000100
ID=0x1412, offset=0x0001B2A8, len=13, data=0012001235997f310301000001
ID=0x1412, offset=0x0001B2C8, len=13, data=0012001235997f310301000000
ID=0x1406, offset=0x0001B2E8, len=13, data=00060006f8378b220101000101
ID=0x1406, offset=0x0001B308, len=13, data=00060006f8378b220101000100
ID=0x1405, offset=0x0001B328, len=13, data=00050005f8378b220101000101
ID=0x1405, offset=0x0001B348, len=13, data=00050005f8378b220101000100
ID=0x144C, offset=0x0001B368, len=13, data=004c004c123b15ae0101000101
ID=0x144C, offset=0x0001B388, len=13, data=004c004c123b15ae0101000100
ID=0x147B, offset=0x0001B3A8, len=13, data=007b007abfd632490701000102
ID=0x147C, offset=0x0001B3C8, len=13, data=007c007abfd632490701000102
ID=0x147A, offset=0x0001B3E8, len=13, data=007a007abdfaed500701000101
ID=0x147A, offset=0x0001B408, len=13, data=007a007abdfaed500701000100
ID=0x1420, offset=0x0001B428, len=13, data=00200000ffffffff0000000002
ID=0x1425, offset=0x0001B448, len=13, data=002500251337468a0501000101
ID=0x1425, offset=0x0001B468, len=13, data=002500251337468a0501000100
ID=0x1426, offset=0x0001B488, len=13, data=00260026b3b5d4930401000101
ID=0x1426, offset=0x0001B4A8, len=13, data=00260026b3b5d4930401000100
ID=0x142E, offset=0x0001B4C8, len=13, data=002e001cf80f047a0301000102
ID=0x146E, offset=0x0001B4E8, len=13, data=006e001cae006f260301000102
ID=0x146D, offset=0x0001B508, len=13, data=006d001cae006f260301000102
ID=0x141C, offset=0x0001B528, len=13, data=001c001cf30ae1ee0301000101
ID=0x141C, offset=0x0001B548, len=13, data=001c001cf30ae1ee0301000100
ID=0x142F, offset=0x0001B568, len=13, data=002f002f04ee46ff0501000101
ID=0x142F, offset=0x0001B588, len=13, data=002f002f04ee46ff0501000100
ID=0x1430, offset=0x0001B5A8, len=13, data=0030003004ee46ff0501000101
ID=0x1430, offset=0x0001B5C8, len=13, data=0030003004ee46ff0501000100
ID=0x1432, offset=0x0001B5E8, len=13, data=0032003204ee46ff0501000101
ID=0x1432, offset=0x0001B608, len=13, data=0032003204ee46ff0501000100
ID=0x15FA, offset=0x0001B628, len=4, data=00004020
ID=0x15FA, offset=0x0001B638, len=4, data=00044020
ID=0x15FA, offset=0x0001B648, len=4, data=00044000
ID=0x141C, offset=0x0001B658, len=13, data=001c001cf30ae1ee0301000101
ID=0x141C, offset=0x0001B678, len=13, data=001c001cf30ae1ee0301000100
ID=0x15FA, offset=0x0001B698, len=4, data=00044020
ID=0x15FA, offset=0x0001B6A8, len=4, data=00000000
ID=0x15FA, offset=0x0001C010, len=4, data=00004000
ID=0x15FF, offset=0x0001C020, len=6, data=0002030d003d
ID=0x15FE, offset=0x0001C038, len=122, data=0000000100020003000400050006000700080009000a000b000c000d000e000f
ID=0x1400, offset=0x0001C0C0, len=13, data=0000000023306c8f0802000500
ID=0x1401, offset=0x0001C0E0, len=13, data=00010001600b57970d01000100
ID=0x1402, offset=0x0001C100, len=13, data=00020000ffffffff0000000002
ID=0x1403, offset=0x0001C120, len=13, data=00030014bb8f6b9f204f000200
ID=0x1404, offset=0x0001C140, len=13, data=00040000ffffffff0000000002
ID=0x1405, offset=0x0001C160, len=13, data=00050005f1b35ba00101000100
ID=0x1406, offset=0x0001C180, len=13, data=00060006f1b35ba00101000100
ID=0x1407, offset=0x0001C1A0, len=13, data=00070007c9175bc22f01000100
ID=0x0D14, offset=0x0001C1BF, len=136, data=0800080008a78510ba2d01000100ffffffffffffff0000000000000000130d14
ID=0x140D, offset=0x0001C260, len=13, data=000d000d8a5229b90802000500
ID=0x140E, offset=0x0001C280, len=13, data=000e000ed3f7e7570403000200
ID=0x140F, offset=0x0001C2A0, len=13, data=000f000e9e740e990403000200
ID=0x1410, offset=0x0001C2C0, len=13, data=0010001031cefdd62f00000000
ID=0x1411, offset=0x0001C2E0, len=13, data=00110011336d11bd0401000100
ID=0x1412, offset=0x0001C300, len=13, data=0012001235997f310301000000
ID=0x1413, offset=0x0001C320, len=13, data=0013001302dd9a270602000100
